XYZ456, 2024-09-20 09:00:00+00:00, 2024-09-21 10:00:00+00:00, 1 day, 1:00:00
ABC123, 2024-09-20 09:00:00+00:00, 2024-09-21 10:00:00+00:00
ABC123, 2024-09-20 09:00:00+00:00, 2024-09-21 10:00:00+00:00, 1 day, 1:00:00
ABC123, 2024-09-20 09:00:00+00:00, 2024-09-21 10:00:00+00:00, 1 day, 1:00:00
ABC123, 2024-09-20 09:00:00+00:00, 2024-09-21 10:00:00+00:00, 1 day, 1:00:00
ABC967, 2024-09-23 16:47:17+00:00, 2024-09-23 16:48:17.981699+00:00, 1m0.981699503s
ABC465, 2024-09-23 16:47:31+00:00, 2024-09-23 16:48:37.996671+00:00, 1m6.996671804s
ABC563, 2024-09-23 16:38:57+00:00, 2024-09-23 16:48:43.008979+00:00, 9m46.008979417s
ABC308, 2024-09-23 16:36:40+00:00, 2024-09-23 16:48:48.011666+00:00, 12m8.011666086s
ABC684, 2024-09-23 16:36:14+00:00, 2024-09-23 16:49:48.077658+00:00
ABC553, 2024-09-23 16:36:32+00:00, 2024-09-23 16:50:03.103087+00:00
ABC788, 2024-09-23 16:47:19+00:00, 2024-09-23 16:50:18.107734+00:00
ABC561, 2024-09-23 16:30:24+00:00, 2024-09-23 16:50:28.116588+00:00
ABC407, 2024-09-23 16:37:08+00:00, 2024-09-23 16:50:33.125788+00:00
ABC988, 2024-09-23 16:40:40+00:00, 2024-09-23 16:50:43.139599+00:00
ABC950, 2024-09-23 16:37:46+00:00, 2024-09-23 16:50:53.145341+00:00
ABC145, 2024-09-23 16:24:01+00:00, 2024-09-23 16:51:13.169540+00:00
ABC870, 2024-09-23 16:40:42+00:00, 2024-09-23 16:51:18.173818+00:00
ABC841, 2024-09-23 16:37:18+00:00, 2024-09-23 16:51:33.195816+00:00
ABC449, 2024-09-23 16:30:45+00:00, 2024-09-23 16:51:43.205398+00:00
ABC888, 2024-09-23 16:29:46+00:00, 2024-09-23 16:51:48.211150+00:00
ABC833, 2024-09-23 17:04:35+00:00, 2024-09-23 17:20:52.371707+00:00, 0:16:17.371707
ABC123, 2024-09-20 09:00:05.323000+00:00, 2024-09-21 10:00:00.431000+00:00, 1 day, 0:59:55.108000
ABC838, 2024-09-23 17:16:33.454052+00:00, 2024-09-23 17:21:02.383124+00:00, 0:04:28.929072
ABC240, 2024-09-23 17:04:37+00:00, 2024-09-23 17:21:12.396576+00:00, 0:16:35.396576
ABC744, 2024-09-23 17:16:59.658706+00:00, 2024-09-23 17:21:17.400029+00:00, 0:04:17.741323
ABC56, 2024-09-23 17:01:48+00:00, 2024-09-23 17:21:27.412647+00:00, 0:19:39.412647
ABC191, 2024-09-23 17:08:01.783515+00:00, 2024-09-23 17:21:32.422941+00:00, 0:13:30.639426
ABC555, 2024-09-23 16:48:35+00:00, 2024-09-23 17:21:37.426082+00:00, 0:33:02.426082
ABC302, 2024-09-23 17:18:44.053042+00:00, 2024-09-23 17:21:42.431246+00:00, 0:02:58.378204
ABC932, 2024-09-23 17:18:50.069237+00:00, 2024-09-23 17:21:57.441928+00:00, 0:03:07.372691
ABC807, 2024-09-23 17:19:28.183581+00:00, 2024-09-23 17:22:02.455747+00:00, 0:02:34.272166
ABC11, 2024-09-23 17:07:43.738271+00:00, 2024-09-23 17:22:07.460327+00:00, 0:14:23.722056
ABC272, 2024-09-23 17:05:53.438699+00:00, 2024-09-23 17:22:12.471865+00:00, 0:16:19.033166
ABC992, 2024-09-23 17:18:05.886538+00:00, 2024-09-23 17:22:17.474918+00:00, 0:04:11.588380
ABC526, 2024-09-23 17:21:12.518437+00:00, 2024-09-23 17:22:27.483145+00:00, 0:01:14.964708
ABC428, 2024-09-23 17:17:25.758320+00:00, 2024-09-23 17:22:32.488756+00:00, 0:05:06.730436
